PARTICIPANT_ID,PROMPT_TYPE,SPEAKER_TYPE,SPEAKER_ID,VIDEO_SCENE,ITEM,RESPONSE_CORRECT?
23368,OBJ,AUT,AUT_1,1.2,1.2-OBJ-1-AUT-ALE,0
23368,OBJ,AUT,AUT_2,1.2,1.2-OBJ-1-AUT-CAL,1
23368,OBJ,AUT,AUT_3,1.2,1.2-OBJ-1-AUT-RAG,0
23368,OBJ,NT,NT_1,1.2,1.2-OBJ-1-NT-BOB,0
23368,OBJ,NT,NT_2,1.2,1.2-OBJ-1-NT-STE,1
23368,SUBJ,AUT,AUT_1,1.4,1.4-SUB-2-AUT-ALE,1
23368,SUBJ,AUT,AUT_2,1.4,1.4-SUB-2-AUT-CAL,0
23368,SUBJ,AUT,AUT_3,1.4,1.4-SUB-2-AUT-RAG,1
23368,SUBJ,NT,NT_3,1.4,1.4-SUB-2-NT-SAM,0
23368,SUBJ,AUT,AUT_1,2.3,2.3-SUB-1-AUT-ALE,0
23368,SUBJ,AUT,AUT_2,2.3,2.3-SUB-1-AUT-CAL,0
23368,SUBJ,NT,NT_3,2.3,2.3-SUB-1-AUT-SAM,0
23368,SUBJ,NT,NT_2,2.3,2.3-SUB-1-NT-STE,0
23368,OBJ,AUT,AUT_1,3.3,3.3-OBJ-2-AUT-ALE,0
23368,OBJ,AUT,AUT_2,3.3,3.3-OBJ-2-AUT-CAL,1
23368,OBJ,AUT,AUT_3,3.3,3.3-OBJ-2-AUT-RAG,0
23368,OBJ,NT,NT_2,3.3,3.3-OBJ-2-NT-STE,0
23368,OBJ,NT,NT_3,3.3,3.3-OBJ-2-NT-SAM,1
23368,OBJ,AUT,AUT_1,5.3,5.3-OBJ-1-AUT-ALE,0
23368,OBJ,AUT,AUT_2,5.3,5.3-OBJ-1-AUT-CAL,0
23368,OBJ,AUT,AUT_3,5.3,5.3-OBJ-1-AUT-RAG,1
23368,OBJ,NT,NT_1,5.3,5.3-OBJ-1-NT-BOB,1
23368,OBJ,NT,NT_2,5.3,5.3-OBJ-1-NT-STE,0
23368,OBJ,NT,NT_3,5.3,5.3-OBJ-1-NT-SAM,1
23368,SUBJ,AUT,AUT_1,5.5,5.5-SUB-2-AUT-ALE,1
23368,SUBJ,AUT,AUT_2,5.5,5.5-SUB-2-AUT-CAL,0
23368,SUBJ,AUT,AUT_3,5.5,5.5-SUB-2-AUT-RAG,1
23368,SUBJ,NT,NT_2,5.5,5.5-SUB-2-NT-STE,0
23368,SUBJ,NT,NT_3,5.5,5.5-SUB-2-NT-SAM,0
23368,CON,AUT,AUT_1,1.3,1.3-CON-2-AUT-ALE,1
23368,CON,AUT,AUT_2,1.3,1.3-CON-2-AUT-CAL,1
23368,CON,NT,NT_1,1.3,1.3-CON-2-NT-BOB,1
23368,CON,NT,NT_2,1.3,1.3-CON-2-NT-STE,0
23368,CON,NT,NT_3,1.3,1.3-CON-2-NT-SAM,0
23368,CON,AUT,AUT_1,1.7,1.7-CON-1-AUT-ALE,1
23368,CON,AUT,AUT_2,1.7,1.7-CON-1-AUT-CAL,0
23368,CON,AUT,AUT_3,1.7,1.7-CON-1-AUT-RAG,1
23368,CON,NT,NT_2,1.7,1.7-CON-1-NT-STE,0
23368,CON,NT,NT_3,1.7,1.7-CON-1-NT-SAM,0
23368,CON,AUT,AUT_1,4.4,4.4-CON-2-AUT-ALE,1
23368,CON,AUT,AUT_2,4.4,4.4-CON-2-AUT-CAL,1
23368,CON,AUT,AUT_3,4.4,4.4-CON-2-AUT-RAG,1
23368,CON,NT,NT_1,4.4,4.4-CON-2-NT-BOB,1
23368,CON,NT,NT_2,4.4,4.4-CON-2-NT-STE,1
23368,CON,NT,NT_3,4.4,4.4-CON-2-NT-SAM,0
18685,OBJ,AUT,AUT_1,1.2,1.2-OBJ-1-AUT-ALE,1
18685,OBJ,AUT,AUT_2,1.2,1.2-OBJ-1-AUT-CAL,1
18685,OBJ,AUT,AUT_3,1.2,1.2-OBJ-1-AUT-RAG,1
18685,OBJ,NT,NT_1,1.2,1.2-OBJ-1-NT-BOB,1
18685,OBJ,NT,NT_2,1.2,1.2-OBJ-1-NT-STE,1
18685,SUBJ,AUT,AUT_1,1.4,1.4-SUB-2-AUT-ALE,0
18685,SUBJ,AUT,AUT_2,1.4,1.4-SUB-2-AUT-CAL,0
18685,SUBJ,AUT,AUT_3,1.4,1.4-SUB-2-AUT-RAG,0
18685,SUBJ,NT,NT_3,1.4,1.4-SUB-2-NT-SAM,1
18685,SUBJ,AUT,AUT_1,2.3,2.3-SUB-1-AUT-ALE,0
18685,SUBJ,AUT,AUT_2,2.3,2.3-SUB-1-AUT-CAL,1
18685,SUBJ,NT,NT_3,2.3,2.3-SUB-1-AUT-SAM,1
18685,SUBJ,NT,NT_2,2.3,2.3-SUB-1-NT-STE,1
18685,OBJ,AUT,AUT_1,3.3,3.3-OBJ-2-AUT-ALE,1
18685,OBJ,AUT,AUT_2,3.3,3.3-OBJ-2-AUT-CAL,1
18685,OBJ,AUT,AUT_3,3.3,3.3-OBJ-2-AUT-RAG,0
18685,OBJ,NT,NT_2,3.3,3.3-OBJ-2-NT-STE,1
18685,OBJ,NT,NT_3,3.3,3.3-OBJ-2-NT-SAM,1
18685,OBJ,AUT,AUT_1,5.3,5.3-OBJ-1-AUT-ALE,1
18685,OBJ,AUT,AUT_2,5.3,5.3-OBJ-1-AUT-CAL,1
18685,OBJ,AUT,AUT_3,5.3,5.3-OBJ-1-AUT-RAG,1
18685,OBJ,NT,NT_1,5.3,5.3-OBJ-1-NT-BOB,1
18685,OBJ,NT,NT_2,5.3,5.3-OBJ-1-NT-STE,1
18685,OBJ,NT,NT_3,5.3,5.3-OBJ-1-NT-SAM,1
18685,SUBJ,AUT,AUT_1,5.5,5.5-SUB-2-AUT-ALE,0
18685,SUBJ,AUT,AUT_2,5.5,5.5-SUB-2-AUT-CAL,1
18685,SUBJ,AUT,AUT_3,5.5,5.5-SUB-2-AUT-RAG,1
18685,SUBJ,NT,NT_2,5.5,5.5-SUB-2-NT-STE,0
18685,SUBJ,NT,NT_3,5.5,5.5-SUB-2-NT-SAM,1
18685,CON,AUT,AUT_1,1.3,1.3-CON-2-AUT-ALE,0
18685,CON,AUT,AUT_2,1.3,1.3-CON-2-AUT-CAL,1
18685,CON,NT,NT_1,1.3,1.3-CON-2-NT-BOB,0
18685,CON,NT,NT_2,1.3,1.3-CON-2-NT-STE,0
18685,CON,NT,NT_3,1.3,1.3-CON-2-NT-SAM,0
18685,CON,AUT,AUT_1,1.7,1.7-CON-1-AUT-ALE,0
18685,CON,AUT,AUT_2,1.7,1.7-CON-1-AUT-CAL,1
18685,CON,AUT,AUT_3,1.7,1.7-CON-1-AUT-RAG,0
18685,CON,NT,NT_2,1.7,1.7-CON-1-NT-STE,1
18685,CON,NT,NT_3,1.7,1.7-CON-1-NT-SAM,1
18685,CON,AUT,AUT_1,4.4,4.4-CON-2-AUT-ALE,0
18685,CON,AUT,AUT_2,4.4,4.4-CON-2-AUT-CAL,1
18685,CON,AUT,AUT_3,4.4,4.4-CON-2-AUT-RAG,0
18685,CON,NT,NT_1,4.4,4.4-CON-2-NT-BOB,1
18685,CON,NT,NT_2,4.4,4.4-CON-2-NT-STE,1
18685,CON,NT,NT_3,4.4,4.4-CON-2-NT-SAM,0
23752,OBJ,AUT,AUT_1,1.2,1.2-OBJ-1-AUT-ALE,0
23752,OBJ,AUT,AUT_2,1.2,1.2-OBJ-1-AUT-CAL,0
23752,OBJ,AUT,AUT_3,1.2,1.2-OBJ-1-AUT-RAG,1
23752,OBJ,NT,NT_1,1.2,1.2-OBJ-1-NT-BOB,0
23752,OBJ,NT,NT_2,1.2,1.2-OBJ-1-NT-STE,1
23752,SUBJ,AUT,AUT_1,1.4,1.4-SUB-2-AUT-ALE,1
23752,SUBJ,AUT,AUT_2,1.4,1.4-SUB-2-AUT-CAL,0
23752,SUBJ,AUT,AUT_3,1.4,1.4-SUB-2-AUT-RAG,1
23752,SUBJ,NT,NT_3,1.4,1.4-SUB-2-NT-SAM,0
23752,SUBJ,AUT,AUT_1,2.3,2.3-SUB-1-AUT-ALE,1
23752,SUBJ,AUT,AUT_2,2.3,2.3-SUB-1-AUT-CAL,0
23752,SUBJ,NT,NT_3,2.3,2.3-SUB-1-AUT-SAM,1
23752,SUBJ,NT,NT_2,2.3,2.3-SUB-1-NT-STE,1
23752,OBJ,AUT,AUT_1,3.3,3.3-OBJ-2-AUT-ALE,1
23752,OBJ,AUT,AUT_2,3.3,3.3-OBJ-2-AUT-CAL,0
23752,OBJ,AUT,AUT_3,3.3,3.3-OBJ-2-AUT-RAG,1
23752,OBJ,NT,NT_2,3.3,3.3-OBJ-2-NT-STE,0
23752,OBJ,NT,NT_3,3.3,3.3-OBJ-2-NT-SAM,1
23752,OBJ,AUT,AUT_1,5.3,5.3-OBJ-1-AUT-ALE,1
23752,OBJ,AUT,AUT_2,5.3,5.3-OBJ-1-AUT-CAL,0
23752,OBJ,AUT,AUT_3,5.3,5.3-OBJ-1-AUT-RAG,1
23752,OBJ,NT,NT_1,5.3,5.3-OBJ-1-NT-BOB,1
23752,OBJ,NT,NT_2,5.3,5.3-OBJ-1-NT-STE,1
23752,OBJ,NT,NT_3,5.3,5.3-OBJ-1-NT-SAM,0
23752,SUBJ,AUT,AUT_1,5.5,5.5-SUB-2-AUT-ALE,1
23752,SUBJ,AUT,AUT_2,5.5,5.5-SUB-2-AUT-CAL,1
23752,SUBJ,AUT,AUT_3,5.5,5.5-SUB-2-AUT-RAG,0
23752,SUBJ,NT,NT_2,5.5,5.5-SUB-2-NT-STE,0
23752,SUBJ,NT,NT_3,5.5,5.5-SUB-2-NT-SAM,1
23752,CON,AUT,AUT_1,1.3,1.3-CON-2-AUT-ALE,0
23752,CON,AUT,AUT_2,1.3,1.3-CON-2-AUT-CAL,0
23752,CON,NT,NT_1,1.3,1.3-CON-2-NT-BOB,0
23752,CON,NT,NT_2,1.3,1.3-CON-2-NT-STE,0
23752,CON,NT,NT_3,1.3,1.3-CON-2-NT-SAM,0
23752,CON,AUT,AUT_1,1.7,1.7-CON-1-AUT-ALE,0
23752,CON,AUT,AUT_2,1.7,1.7-CON-1-AUT-CAL,0
23752,CON,AUT,AUT_3,1.7,1.7-CON-1-AUT-RAG,0
23752,CON,NT,NT_2,1.7,1.7-CON-1-NT-STE,0
23752,CON,NT,NT_3,1.7,1.7-CON-1-NT-SAM,0
23752,CON,AUT,AUT_1,4.4,4.4-CON-2-AUT-ALE,0
23752,CON,AUT,AUT_2,4.4,4.4-CON-2-AUT-CAL,0
23752,CON,AUT,AUT_3,4.4,4.4-CON-2-AUT-RAG,1
23752,CON,NT,NT_1,4.4,4.4-CON-2-NT-BOB,0
23752,CON,NT,NT_2,4.4,4.4-CON-2-NT-STE,1
23752,CON,NT,NT_3,4.4,4.4-CON-2-NT-SAM,0
23749,OBJ,AUT,AUT_1,1.2,1.2-OBJ-1-AUT-ALE,1
23749,OBJ,AUT,AUT_2,1.2,1.2-OBJ-1-AUT-CAL,1
23749,OBJ,AUT,AUT_3,1.2,1.2-OBJ-1-AUT-RAG,1
23749,OBJ,NT,NT_1,1.2,1.2-OBJ-1-NT-BOB,1
23749,OBJ,NT,NT_2,1.2,1.2-OBJ-1-NT-STE,1
23749,SUBJ,AUT,AUT_1,1.4,1.4-SUB-2-AUT-ALE,1
23749,SUBJ,AUT,AUT_2,1.4,1.4-SUB-2-AUT-CAL,1
23749,SUBJ,AUT,AUT_3,1.4,1.4-SUB-2-AUT-RAG,0
23749,SUBJ,NT,NT_3,1.4,1.4-SUB-2-NT-SAM,0
23749,SUBJ,AUT,AUT_1,2.3,2.3-SUB-1-AUT-ALE,0
23749,SUBJ,AUT,AUT_2,2.3,2.3-SUB-1-AUT-CAL,1
23749,SUBJ,NT,NT_3,2.3,2.3-SUB-1-AUT-SAM,1
23749,SUBJ,NT,NT_2,2.3,2.3-SUB-1-NT-STE,1
23749,OBJ,AUT,AUT_1,3.3,3.3-OBJ-2-AUT-ALE,1
23749,OBJ,AUT,AUT_2,3.3,3.3-OBJ-2-AUT-CAL,1
23749,OBJ,AUT,AUT_3,3.3,3.3-OBJ-2-AUT-RAG,0
23749,OBJ,NT,NT_2,3.3,3.3-OBJ-2-NT-STE,0
23749,OBJ,NT,NT_3,3.3,3.3-OBJ-2-NT-SAM,1
23749,OBJ,AUT,AUT_1,5.3,5.3-OBJ-1-AUT-ALE,0
23749,OBJ,AUT,AUT_2,5.3,5.3-OBJ-1-AUT-CAL,1
23749,OBJ,AUT,AUT_3,5.3,5.3-OBJ-1-AUT-RAG,1
23749,OBJ,NT,NT_1,5.3,5.3-OBJ-1-NT-BOB,1
23749,OBJ,NT,NT_2,5.3,5.3-OBJ-1-NT-STE,0
23749,OBJ,NT,NT_3,5.3,5.3-OBJ-1-NT-SAM,0
23749,SUBJ,AUT,AUT_1,5.5,5.5-SUB-2-AUT-ALE,0
23749,SUBJ,AUT,AUT_2,5.5,5.5-SUB-2-AUT-CAL,1
23749,SUBJ,AUT,AUT_3,5.5,5.5-SUB-2-AUT-RAG,0
23749,SUBJ,NT,NT_2,5.5,5.5-SUB-2-NT-STE,0
23749,SUBJ,NT,NT_3,5.5,5.5-SUB-2-NT-SAM,1
23749,CON,AUT,AUT_1,1.3,1.3-CON-2-AUT-ALE,0
23749,CON,AUT,AUT_2,1.3,1.3-CON-2-AUT-CAL,0
23749,CON,NT,NT_1,1.3,1.3-CON-2-NT-BOB,0
23749,CON,NT,NT_2,1.3,1.3-CON-2-NT-STE,0
23749,CON,NT,NT_3,1.3,1.3-CON-2-NT-SAM,0
23749,CON,AUT,AUT_1,1.7,1.7-CON-1-AUT-ALE,0
23749,CON,AUT,AUT_2,1.7,1.7-CON-1-AUT-CAL,0
23749,CON,AUT,AUT_3,1.7,1.7-CON-1-AUT-RAG,0
23749,CON,NT,NT_2,1.7,1.7-CON-1-NT-STE,0
23749,CON,NT,NT_3,1.7,1.7-CON-1-NT-SAM,0
23749,CON,AUT,AUT_1,4.4,4.4-CON-2-AUT-ALE,0
23749,CON,AUT,AUT_2,4.4,4.4-CON-2-AUT-CAL,0
23749,CON,AUT,AUT_3,4.4,4.4-CON-2-AUT-RAG,0
23749,CON,NT,NT_1,4.4,4.4-CON-2-NT-BOB,0
23749,CON,NT,NT_2,4.4,4.4-CON-2-NT-STE,0
23749,CON,NT,NT_3,4.4,4.4-CON-2-NT-SAM,0
22696,OBJ,AUT,AUT_1,1.2,1.2-OBJ-1-AUT-ALE,1
22696,OBJ,AUT,AUT_2,1.2,1.2-OBJ-1-AUT-CAL,0
22696,OBJ,AUT,AUT_3,1.2,1.2-OBJ-1-AUT-RAG,0
22696,OBJ,NT,NT_1,1.2,1.2-OBJ-1-NT-BOB,1
22696,OBJ,NT,NT_2,1.2,1.2-OBJ-1-NT-STE,1
22696,SUBJ,AUT,AUT_1,1.4,1.4-SUB-2-AUT-ALE,1
22696,SUBJ,AUT,AUT_2,1.4,1.4-SUB-2-AUT-CAL,0
22696,SUBJ,AUT,AUT_3,1.4,1.4-SUB-2-AUT-RAG,1
22696,SUBJ,NT,NT_3,1.4,1.4-SUB-2-NT-SAM,1
22696,SUBJ,AUT,AUT_1,2.3,2.3-SUB-1-AUT-ALE,0
22696,SUBJ,AUT,AUT_2,2.3,2.3-SUB-1-AUT-CAL,1
22696,SUBJ,NT,NT_3,2.3,2.3-SUB-1-AUT-SAM,1
22696,SUBJ,NT,NT_2,2.3,2.3-SUB-1-NT-STE,0
22696,OBJ,AUT,AUT_1,3.3,3.3-OBJ-2-AUT-ALE,1
22696,OBJ,AUT,AUT_2,3.3,3.3-OBJ-2-AUT-CAL,0
22696,OBJ,AUT,AUT_3,3.3,3.3-OBJ-2-AUT-RAG,0
22696,OBJ,NT,NT_2,3.3,3.3-OBJ-2-NT-STE,1
22696,OBJ,NT,NT_3,3.3,3.3-OBJ-2-NT-SAM,1
22696,OBJ,AUT,AUT_1,5.3,5.3-OBJ-1-AUT-ALE,1
22696,OBJ,AUT,AUT_2,5.3,5.3-OBJ-1-AUT-CAL,0
22696,OBJ,AUT,AUT_3,5.3,5.3-OBJ-1-AUT-RAG,0
22696,OBJ,NT,NT_1,5.3,5.3-OBJ-1-NT-BOB,1
22696,OBJ,NT,NT_2,5.3,5.3-OBJ-1-NT-STE,0
22696,OBJ,NT,NT_3,5.3,5.3-OBJ-1-NT-SAM,1
22696,SUBJ,AUT,AUT_1,5.5,5.5-SUB-2-AUT-ALE,0
22696,SUBJ,AUT,AUT_2,5.5,5.5-SUB-2-AUT-CAL,1
22696,SUBJ,AUT,AUT_3,5.5,5.5-SUB-2-AUT-RAG,0
22696,SUBJ,NT,NT_2,5.5,5.5-SUB-2-NT-STE,0
22696,SUBJ,NT,NT_3,5.5,5.5-SUB-2-NT-SAM,0
22696,CON,AUT,AUT_1,1.3,1.3-CON-2-AUT-ALE,0
22696,CON,AUT,AUT_2,1.3,1.3-CON-2-AUT-CAL,0
22696,CON,NT,NT_1,1.3,1.3-CON-2-NT-BOB,1
22696,CON,NT,NT_2,1.3,1.3-CON-2-NT-STE,1
22696,CON,NT,NT_3,1.3,1.3-CON-2-NT-SAM,0
22696,CON,AUT,AUT_1,1.7,1.7-CON-1-AUT-ALE,0
22696,CON,AUT,AUT_2,1.7,1.7-CON-1-AUT-CAL,1
22696,CON,AUT,AUT_3,1.7,1.7-CON-1-AUT-RAG,0
22696,CON,NT,NT_2,1.7,1.7-CON-1-NT-STE,0
22696,CON,NT,NT_3,1.7,1.7-CON-1-NT-SAM,1
22696,CON,AUT,AUT_1,4.4,4.4-CON-2-AUT-ALE,0
22696,CON,AUT,AUT_2,4.4,4.4-CON-2-AUT-CAL,0
22696,CON,AUT,AUT_3,4.4,4.4-CON-2-AUT-RAG,0
